record_type,record_index,name,description,cover_img_src,color,source_url,group,start_date,end_date,start_at_server,end_at_server,start_at_output_tz,end_at_output_tz,end_at_utc,has_expired,expires_in,is_cst_start,is_banner_event,banner_group
banner,2,False Promise for Tomorrow - Denia Banner,,/api/event-cover-images/file/3-6-denia-banner.png,#D36E81,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-20 10:00:00,2026-09-10 09:59:59,2026-08-20T10:00:00+08:00,2026-09-10T09:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-10T01:59:59+00:00,2026-09-10T01:59:59+00:00,False,5d 18h 45m,True,True,3
banner,1,Forged Dwarfstar - Denia Weapon Banner,,/api/event-cover-images/file/3-6-denia-weapon-banner.png,#172390,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-20 10:00:00,2026-09-10 09:59:59,2026-08-20T10:00:00+08:00,2026-09-10T09:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-10T01:59:59+00:00,2026-09-10T01:59:59+00:00,False,5d 18h 45m,True,True,4
banner,3,Glint of Clouds - Qingxiao Weapon Banner,,/api/event-cover-images/file/3-6-qingxiao-weapon-banner.png,#49928D,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-20 10:00:00,2026-09-10 09:59:59,2026-08-20T10:00:00+08:00,2026-09-10T09:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-10T01:59:59+00:00,2026-09-10T01:59:59+00:00,False,5d 18h 45m,True,True,2
banner,4,Wind of Transcendence - Qingxiao Banner,,/api/event-cover-images/file/3-6-qingxiao-banner.png,#247F9F,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-08-20 10:00:00,2026-09-10 09:59:59,2026-08-20T10:00:00+08:00,2026-09-10T09:59:59+08:00,2026-08-20T02:00:00+00:00,2026-09-10T01:59:59+00:00,2026-09-10T01:59:59+00:00,False,5d 18h 45m,True,True,1
banner,6,Distant May the Starlights Be - Mornye Banner,,/api/event-cover-images/file/3-6-mornye-banner.png,#2741CC,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,5
banner,7,Frostburn - Hiyuki Weapon Banner,,/api/event-cover-images/file/3-6-hiyuki-weapon-banner.png,#3A2D57,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,4
banner,5,Starfield Calibrator - Mornye Weapon Banner,,/api/event-cover-images/file/3-6-mornye-weapon-banner.png,#5C69C7,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,6
banner,8,Thousand Futures Mirrored in Snow - Hiyuki Banner,,/api/event-cover-images/file/3-6-hiyuki-banner.png,#430407,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,3
banner,9,Thousandfold Deliverance - Jingran Weapon Banner,,/api/event-cover-images/file/thousandfold-deliverance.png,#A25F2F,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,2
banner,10,Where Santu Beckons - Jingran Banner,,/api/event-cover-images/file/3-6-jingran-banner.png,#073B4E,https://wutheringwaves.kurogames.com/en/main/news/detail/5310,,2026-09-10 10:00:00,2026-09-29 11:59:59,2026-09-10T10:00:00+08:00,2026-09-29T11:59:59+08:00,2026-09-10T02:00:00+00:00,2026-09-29T03:59:59+00:00,2026-09-29T03:59:59+00:00,False,24d 20h 45m,False,True,1
